PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
45262,acarturk2016,ITT,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),A,,,0,1,Not meeting criteria for PTSD according to MINI,0.6122,30,49,,,,,,acarturk2016_ITT_A_0_1
45262,acarturk2016,ITT,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),A,,,4,1,Not meeting criteria for PTSD according to MINI,0.4898,24,49,,,,,,acarturk2016_ITT_A_4_1
45262,acarturk2016,ITT,Waitlist,Waitlist,B,,,0,1,Not meeting criteria for PTSD according to MINI,0.0612,3,49,,,,,,acarturk2016_ITT_B_0_1
45262,acarturk2016,ITT,Waitlist,Waitlist,B,,,4,1,Not meeting criteria for PTSD according to MINI,0.0409,2,49,,,,,,acarturk2016_ITT_B_4_1
37889,adenauer2011,Completer,NET,Narrative Exposure Therapy (NET),A,,,16,1,Not meeting criteria for PTSD according to CAPS,0.4545,5,11,,,,,,adenauer2011_Completer_A_16_1
37889,adenauer2011,Completer,Waitlist,Waitlist,B,,,16,1,Not meeting criteria for PTSD according to CAPS,0,0,8,,,,,,adenauer2011_Completer_B_16_1
50480,ahmadizadeh2018,ITT,Bilateral rTMS,Transcranial magnetic stimualtion (TMS),A,,,0,,,,,,1,Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score,0.625,10,16,ahmadizadeh2018_ITT_A_0_1
50480,ahmadizadeh2018,ITT,Unilateral rTMS,Transcranial magnetic stimualtion (TMS),B,,,0,,,,,,1,Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score,0.4118,7,17,ahmadizadeh2018_ITT_B_0_1
50480,ahmadizadeh2018,ITT,Sham rTMS,Sham,C,,,0,,,,,,1,Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score,0,0,16,ahmadizadeh2018_ITT_C_0_1
1545324,ahmadizadeh2019,Completer,Transcranial direct current stimulation (tDCS),Transcranial direct current stimulation (tDCS),A,,,0,1,PCL-5 < 33,0.444,8,18,1,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96",0.278,5,18,ahmadizadeh2019_Completer_A_0_1
1545324,ahmadizadeh2019,Completer,Sham transcranial direct current stimulation,Sham,B,,,0,1,PCL-5 < 33,0.125,2,16,1,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96",0.062,1,16,ahmadizadeh2019_Completer_B_0_1
1603004,allen2022,Completer,Internet-based CBT,Internet-based facilitated self-help,A,Complete case analysis,Descriptive only,0,1,PCL-C <44,0.615,8,13,1,"Reliable change, 13.20-point improvement on PCL-C",0.38,5,13,allen2022_Completer_A_0_1
1603004,allen2022,Completer,Waitlist,Waitlist,B,Complete case analysis,Descriptive only,0,1,PCL-C <44,0.177,3,17,1,"Reliable change, 13.20-point improvement on PCL-C",0.29,5,17,allen2022_Completer_B_0_1
1587317,alon2022,Completer,Attention control training,Attention bias modification (ABM),A,,Chi-square test,0,1,CAPS-5 diagnosis absent,0.5,13,26,,,,,,alon2022_Completer_A_0_1
1587317,alon2022,Completer,Attention bias modification,Attention bias modification (ABM),B,,Chi-square test,0,1,CAPS-5 diagnosis absent,0.448,13,29,,,,,,alon2022_Completer_B_0_1
1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,0,1,CAPS loss of diagnosis,0.64,,,1,CAPS change of more than 12 points and total score <45,0.63,,,angelakis2020_ITT_A_0_1
