,PTSDpubs_ID,Study_ID,Analysis_Type,Treatment_Name,Standardized_Treatment_Name,Interv_Group,Missing_Data_Method,Stats_Analysis_Method,Assessment_Point,Diag_Change_Def_Num,Diag_Change_Definition,Percent_Diag_Change,Diag_Change_Numerator,Diag_Change_Denominator,Clin_Meaningful_Def_Num,Clin_Meaningful_Def,Pcnt_Clin_Meaningful_Resp,Clin_Meaningful_Numerator,Clin_Meaningful_Denominator,Row_ID,bad_data,any_outliers,potential_issues,Treatment_Name_Cleaned,Treatment_Category
0,45262,acarturk2016,ITT,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),A,,,0.0,1,Not meeting criteria for PTSD according to MINI,0.6122,30.0,49.0,,,,,,acarturk2016_ITT_A_0_1,False,False,False,EMDR Recent Traumatic Episode Protocol,Other
1,45262,acarturk2016,ITT,EMDR Recent Traumatic Episode Protocol,Eye Movement Desensitization and Reprocessing (EMDR),A,,,4.0,1,Not meeting criteria for PTSD according to MINI,0.4898,24.0,49.0,,,,,,acarturk2016_ITT_A_4_1,False,False,False,EMDR Recent Traumatic Episode Protocol,Other
2,45262,acarturk2016,ITT,Waitlist,Waitlist,B,,,0.0,1,Not meeting criteria for PTSD according to MINI,0.0612,3.0,49.0,,,,,,acarturk2016_ITT_B_0_1,False,False,False,Waitlist,Waitlist
3,45262,acarturk2016,ITT,Waitlist,Waitlist,B,,,4.0,1,Not meeting criteria for PTSD according to MINI,0.0409,2.0,49.0,,,,,,acarturk2016_ITT_B_4_1,False,False,False,Waitlist,Waitlist
4,37889,adenauer2011,Completer,NET,Narrative Exposure Therapy (NET),A,,,16.0,1,Not meeting criteria for PTSD according to CAPS,0.4545,5.0,11.0,,,,,,adenauer2011_Completer_A_16_1,False,False,False,NET,NET
5,37889,adenauer2011,Completer,Waitlist,Waitlist,B,,,16.0,1,Not meeting criteria for PTSD according to CAPS,0.0,0.0,8.0,,,,,,adenauer2011_Completer_B_16_1,False,False,False,Waitlist,Waitlist
6,50480,ahmadizadeh2018,ITT,Bilateral rTMS,Transcranial magnetic stimualtion (TMS),A,,,0.0,,,,,,1,Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score,0.625,10.0,16.0,ahmadizadeh2018_ITT_A_0_1,False,False,False,Bilateral rTMS,Other
7,50480,ahmadizadeh2018,ITT,Unilateral rTMS,Transcranial magnetic stimualtion (TMS),B,,,0.0,,,,,,1,Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score,0.4118,7.0,17.0,ahmadizadeh2018_ITT_B_0_1,False,False,False,Unilateral rTMS,Other
8,50480,ahmadizadeh2018,ITT,Sham rTMS,Sham,C,,,0.0,,,,,,1,Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score,0.0,0.0,16.0,ahmadizadeh2018_ITT_C_0_1,False,False,False,Sham rTMS,Other
9,1545324,ahmadizadeh2019,Completer,Transcranial direct current stimulation (tDCS),Transcranial direct current stimulation (tDCS),A,,,0.0,1,PCL-5 < 33,0.444,8.0,18.0,1,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96",0.278,5.0,18.0,ahmadizadeh2019_Completer_A_0_1,False,False,False,Transcranial direct current stimulation (tDCS),Other
10,1545324,ahmadizadeh2019,Completer,Sham transcranial direct current stimulation,Sham,B,,,0.0,1,PCL-5 < 33,0.125,2.0,16.0,1,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96",0.062,1.0,16.0,ahmadizadeh2019_Completer_B_0_1,False,False,False,Sham transcranial direct current stimulation,Other
11,1603004,allen2022,Completer,Internet-based CBT,Internet-based facilitated self-help,A,Complete case analysis,Descriptive only,0.0,1,PCL-C <44,0.615,8.0,13.0,1,"Reliable change, 13.20-point improvement on PCL-C",0.38,5.0,13.0,allen2022_Completer_A_0_1,False,False,False,Internet-based CBT,Other
12,1603004,allen2022,Completer,Waitlist,Waitlist,B,Complete case analysis,Descriptive only,0.0,1,PCL-C <44,0.177,3.0,17.0,1,"Reliable change, 13.20-point improvement on PCL-C",0.29,5.0,17.0,allen2022_Completer_B_0_1,False,False,False,Waitlist,Waitlist
13,1587317,alon2022,Completer,Attention control training,Attention bias modification (ABM),A,,Chi-square test,0.0,1,CAPS-5 diagnosis absent,0.5,13.0,26.0,,,,,,alon2022_Completer_A_0_1,False,False,False,Attention control training,Other
14,1587317,alon2022,Completer,Attention bias modification,Attention bias modification (ABM),B,,Chi-square test,0.0,1,CAPS-5 diagnosis absent,0.448,13.0,29.0,,,,,,alon2022_Completer_B_0_1,False,False,False,Attention bias modification,Other
15,1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,0.0,1,CAPS loss of diagnosis,0.64,,,1,CAPS change of more than 12 points and total score <45,0.63,,,angelakis2020_ITT_A_0_1,False,False,False,Cogntive Processing Therapy,Other
16,1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,0.0,,,,,,2,CAPS score ≤19,0.41,,,angelakis2020_ITT_A_0_2,False,False,False,Cogntive Processing Therapy,Other
17,1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,26.0,1,CAPS loss of diagnosis,0.36,,,1,CAPS change of more than 12 points and total score <45,0.59,,,angelakis2020_ITT_A_26_1,False,False,False,Cogntive Processing Therapy,Other
18,1560706,angelakis2020,ITT,Cogntive Processing Therapy,Cognitive Processing Therapy (CPT),A,,Bayesian binomial model,26.0,,,,,,2,CAPS score ≤19,0.35,,,angelakis2020_ITT_A_26_2,False,False,False,Cogntive Processing Therapy,Other
19,1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,0.0,1,CAPS loss of diagnosis,0.35,,,1,CAPS change of more than 12 points and total score <45,0.62,,,angelakis2020_ITT_B_0_1,False,False,False,Behavioral Activation/Cognitive Processing Therapy,Other
20,1560706,angelakis2020,ITT,Behavioral Activation/Cognitive Processing Therapy,Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT),B,,Bayesian binomial model,0.0,,,,,,2,CAPS score ≤19,0.17,,,angelakis2020_ITT_B_0_2,False,False,False,Behavioral Activation/Cognitive Processing Therapy,Other
